    mass_H2O	        totU	     totAcid	     totBase	          pH	        U_aq	         U_s	        U_sc	        U_ex	        Kd_s	       Kd_sc	       Kd_ex	metaschoepite	
    0.999896	  1.8820e-04	  1.0000e-09	  1.8317e-02	  1.2123e+01	  1.8622e-04	  1.9977e-06	  1.9977e-06	  5.4386e-22	  1.0727e+01	  1.0727e+01	  2.9205e-15	           0	
    0.999952	  1.9694e-03	  1.6224e-02	  1.0000e-09	  2.0258e+00	  1.8850e-03	  8.4556e-05	  4.6787e-07	  8.4088e-05	  4.4858e+01	  2.4821e-01	  4.4610e+01	           0	
     1.00002	  3.1610e-08	  1.0000e-09	  4.3802e-03	  1.1509e+01	  1.6274e-09	  2.9983e-08	  2.9983e-08	  8.5328e-25	  1.8424e+04	  1.8424e+04	  5.2431e-13	           0	
     1.00001	  5.1242e-07	  1.0000e-09	  5.5641e-03	  1.1613e+01	  3.6426e-08	  4.7599e-07	  4.7599e-07	  8.3112e-24	  1.3067e+04	  1.3067e+04	  2.2817e-13	           0	
     1.00004	  6.7435e-06	  1.0000e-09	  3.1405e-03	  1.1360e+01	  4.7830e-06	  1.9604e-06	  1.9604e-06	  7.8703e-21	  4.0987e+02	  4.0987e+02	  1.6455e-12	           0	
     1.00003	  2.9838e-05	  3.1964e-03	  1.0000e-09	  2.6233e+00	  2.7767e-05	  2.0706e-06	  1.3261e-07	  1.9380e-06	  7.4571e+01	  4.7759e+00	  6.9795e+01	           0	
    0.999972	  2.1568e-03	  1.0000e-09	  5.9618e-03	  1.1455e+01	  2.1548e-03	  2.0105e-06	  2.0105e-06	  1.0710e-18	  9.3302e-01	  9.3302e-01	  4.9703e-13	           0	
    0.999956	  4.3537e-08	  1.1851e-02	  1.0000e-09	  2.0400e+00	  4.0699e-08	  2.8403e-09	  1.3872e-11	  2.8265e-09	  6.9790e+01	  3.4086e-01	  6.9449e+01	           0	
    0.999739	  9.7529e-03	  1.0000e-09	  3.6284e-03	  1.1095e+01	  3.2830e-03	  6.4707e-03	  2.0465e-06	  1.1190e-17	  1.9710e+03	  6.2337e-01	  3.4085e-12	  6.4687e-03	
    0.999964	  2.7826e-03	  1.0000e-09	  5.5232e-03	  1.1377e+01	  2.7807e-03	  2.0163e-06	  2.0163e-06	  1.9879e-18	  7.2509e-01	  7.2509e-01	  7.1489e-13	           0	
    0.999914	  1.5726e-08	  1.6546e-02	  1.0000e-09	  1.8954e+00	  1.4710e-08	  1.0165e-09	  2.5454e-12	  1.0140e-09	  6.9102e+01	  1.7303e-01	  6.8929e+01	           0	
    0.999993	  1.4566e-08	  7.7962e-03	  1.0000e-09	  2.2223e+00	  1.3604e-08	  9.6196e-10	  1.0846e-11	  9.5112e-10	  7.0711e+01	  7.9725e-01	  6.9914e+01	           0	
     1.00004	  8.4669e-09	  2.4165e-03	  1.0000e-09	  2.7398e+00	  7.8453e-09	  6.2121e-10	  6.8051e-11	  5.5315e-10	  7.9182e+01	  8.6740e+00	  7.0508e+01	           0	
     1.00002	  2.0976e-04	  5.0388e-03	  1.0000e-09	  2.4520e+00	  1.9641e-04	  1.3347e-05	  3.7622e-07	  1.2970e-05	  6.7952e+01	  1.9155e+00	  6.6037e+01	           0	
           1	  2.3741e-03	  1.1208e-02	  1.0000e-09	  2.3060e+00	  2.2773e-03	  9.6819e-05	  1.2352e-06	  9.5584e-05	  4.2516e+01	  5.4242e-01	  4.1973e+01	           0	
     1.00001	  1.8417e-08	  1.0000e-09	  5.8571e-03	  1.1636e+01	  1.0431e-09	  1.7374e-08	  1.7374e-08	  1.9864e-25	  1.6656e+04	  1.6656e+04	  1.9042e-13	           0	
    0.999835	  6.2098e-03	  1.0000e-09	  1.3100e-02	  1.1703e+01	  6.2088e-03	  2.0073e-06	  2.0073e-06	  3.7059e-19	  3.2329e-01	  3.2329e-01	  5.9688e-14	           0	
     1.00003	  5.7012e-05	  3.9961e-03	  1.0000e-09	  2.5287e+00	  5.3172e-05	  3.8384e-06	  1.6199e-07	  3.6764e-06	  7.2190e+01	  3.0466e+00	  6.9143e+01	           0	
     1.00003	  1.0469e-07	  3.2032e-03	  1.0000e-09	  2.6140e+00	  9.7355e-08	  7.3308e-09	  4.7399e-10	  6.8568e-09	  7.5300e+01	  4.8686e+00	  7.0431e+01	           0	
    0.999932	  6.4804e-04	  1.0000e-09	  1.3398e-02	  1.1961e+01	  6.4608e-04	  1.9997e-06	  1.9997e-06	  7.9013e-21	  3.0952e+00	  3.0952e+00	  1.2230e-14	           0	
    0.999991	  1.4657e-05	  1.0000e-09	  8.0720e-03	  1.1775e+01	  1.2678e-05	  1.9786e-06	  1.9786e-06	  7.7407e-22	  1.5606e+02	  1.5606e+02	  6.1054e-14	           0	
    0.999929	  4.8747e-05	  1.0000e-09	  1.4901e-02	  1.2039e+01	  4.6758e-05	  1.9918e-06	  1.9918e-06	  2.9190e-22	  4.2597e+01	  4.2597e+01	  6.2427e-15	           0	
    0.999927	  2.5058e-05	  1.0000e-09	  1.5227e-02	  1.2050e+01	  2.3077e-05	  1.9831e-06	  1.9831e-06	  1.3125e-22	  8.5935e+01	  8.5935e+01	  5.6877e-15	           0	
    0.999896	  2.1162e-04	  1.0000e-09	  1.8294e-02	  1.2121e+01	  2.0965e-04	  1.9979e-06	  1.9979e-06	  6.2022e-22	  9.5300e+00	  9.5300e+00	  2.9584e-15	           0	
     1.00005	  1.9687e-07	  1.0000e-09	  1.8964e-03	  1.1136e+01	  8.9900e-09	  1.8788e-07	  1.8788e-07	  7.9219e-23	  2.0899e+04	  2.0899e+04	  8.8119e-12	           0	
    0.999934	  1.5316e-07	  1.0000e-09	  1.4510e-02	  1.2030e+01	  1.4260e-08	  1.3890e-07	  1.3890e-07	  9.6752e-26	  9.7410e+03	  9.7410e+03	  6.7851e-15	           0	
     1.00002	  1.2079e-04	  5.4815e-03	  1.0000e-09	  2.3964e+00	  1.1295e-04	  7.8313e-06	  1.8478e-07	  7.6465e-06	  6.9332e+01	  1.6359e+00	  6.7696e+01	           0	
     1.00001	  1.8592e-06	  5.9641e-03	  1.0000e-09	  2.3398e+00	  1.7352e-06	  1.2400e-07	  2.3832e-09	  1.2161e-07	  7.1460e+01	  1.3735e+00	  7.0086e+01	           0	
    0.999997	  1.2064e-09	  1.0000e-09	  7.4510e-03	  1.1741e+01	  7.4824e-11	  1.1316e-09	  1.1316e-09	  6.0459e-27	  1.5124e+04	  1.5124e+04	  8.0801e-14	           0	
    0.999985	  1.8413e-04	  1.0000e-09	  8.4907e-03	  1.1784e+01	  1.8213e-04	  1.9987e-06	  1.9987e-06	  1.0269e-20	  1.0974e+01	  1.0974e+01	  5.6379e-14	           0	
     1.00001	  2.0284e-07	  6.3565e-03	  1.0000e-09	  2.3116e+00	  1.8934e-07	  1.3497e-08	  2.2845e-10	  1.3268e-08	  7.1283e+01	  1.2066e+00	  7.0077e+01	           0	
     1.00002	  2.7440e-05	  4.2961e-03	  1.0000e-09	  2.4896e+00	  2.5588e-05	  1.8523e-06	  6.8091e-08	  1.7842e-06	  7.2391e+01	  2.6611e+00	  6.9730e+01	           0	
    0.999949	  4.1695e-09	  1.2701e-02	  1.0000e-09	  2.0099e+00	  3.8982e-09	  2.7151e-10	  1.1544e-12	  2.7035e-10	  6.9650e+01	  2.9613e-01	  6.9354e+01	           0	
     1.00001	  4.9058e-04	  1.0000e-09	  4.7023e-03	  1.1477e+01	  4.8857e-04	  2.0027e-06	  2.0027e-06	  3.0716e-19	  4.0991e+00	  4.0991e+00	  6.2869e-13	           0	
    0.999936	  5.3909e-06	  1.4149e-02	  1.0000e-09	  1.9635e+00	  5.0418e-06	  3.4949e-07	  1.2003e-09	  3.4829e-07	  6.9318e+01	  2.3808e-01	  6.9080e+01	           0	
    0.999944	  1.2992e-04	  1.3424e-02	  1.0000e-09	  1.9945e+00	  1.2177e-04	  8.1527e-06	  3.3013e-08	  8.1197e-06	  6.6949e+01	  2.7110e-01	  6.6678e+01	           0	
     1.00003	  3.3519e-03	  1.0531e-02	  1.0000e-09	  2.5358e+00	  3.2317e-03	  1.2006e-04	  2.1721e-06	  1.1789e-04	  3.7150e+01	  6.7212e-01	  3.6478e+01	           0	
    0.999885	  4.4073e-05	  1.0000e-09	  1.9788e-02	  1.2162e+01	  4.2089e-05	  1.9889e-06	  1.9889e-06	  8.6163e-23	  4.7254e+01	  4.7254e+01	  2.0472e-15	           0	
    0.999989	  8.5445e-04	  1.0000e-09	  6.6719e-03	  1.1611e+01	  8.5246e-04	  2.0023e-06	  2.0023e-06	  1.8269e-19	  2.3489e+00	  2.3489e+00	  2.1430e-13	           0	
    0.999975	  1.1890e-06	  9.7529e-03	  1.0000e-09	  2.1248e+00	  1.1111e-06	  7.7966e-08	  5.6253e-10	  7.7403e-08	  7.0170e+01	  5.0628e-01	  6.9663e+01	           0	
           1	  3.8548e-03	  1.4346e-02	  1.0000e-09	  2.2950e+00	  3.7260e-03	  1.2886e-04	  1.5057e-06	  1.2735e-04	  3.4583e+01	  4.0412e-01	  3.4179e+01	           0	
     1.00002	  1.1049e-03	  1.0000e-09	  2.7700e-03	  1.1133e+01	  1.1028e-03	  2.0244e-06	  2.0244e-06	  5.5080e-18	  1.8356e+00	  1.8356e+00	  4.9943e-12	           0	
    0.999937	  1.8985e-06	  1.0000e-09	  1.4118e-02	  1.2018e+01	  4.6969e-07	  1.4289e-06	  1.4289e-06	  3.5423e-24	  3.0421e+03	  3.0421e+03	  7.5417e-15	           0	
    0.999951	  2.8945e-07	  1.0000e-09	  1.2618e-02	  1.1970e+01	  2.6514e-08	  2.6293e-07	  2.6293e-07	  3.0654e-25	  9.9168e+03	  9.9168e+03	  1.1561e-14	           0	
    0.999971	  2.7138e-03	  1.0000e-09	  6.4544e-04	  1.0345e+01	  5.6108e-04	  2.1527e-03	  2.2592e-06	  3.7284e-16	  3.8367e+03	  4.0265e+00	  6.6450e-10	  2.1505e-03	
    0.999968	  6.6618e-08	  1.0000e-09	  1.0718e-02	  1.1899e+01	  5.0582e-09	  6.1560e-08	  6.1560e-08	  1.0799e-25	  1.2170e+04	  1.2170e+04	  2.1349e-14	           0	
     1.00003	  3.4641e-06	  3.6601e-03	  1.0000e-09	  2.5556e+00	  3.2253e-06	  2.3871e-07	  1.1941e-08	  2.2677e-07	  7.4013e+01	  3.7025e+00	  7.0311e+01	           0	
    0.999935	  3.1471e-05	  1.4238e-02	  1.0000e-09	  1.9623e+00	  2.9448e-05	  2.0251e-06	  6.9547e-09	  2.0182e-06	  6.8770e+01	  2.3617e-01	  6.8534e+01	           0	
    0.999971	  2.1652e-08	  1.0000e-09	  1.0405e-02	  1.1886e+01	  1.5877e-09	  2.0064e-08	  2.0064e-08	  3.7841e-26	  1.2638e+04	  1.2638e+04	  2.3834e-14	           0	
     1.00003	  1.8047e-04	  1.0000e-09	  3.5339e-03	  1.1385e+01	  1.7846e-04	  2.0008e-06	  2.0008e-06	  2.4003e-19	  1.1212e+01	  1.1212e+01	  1.3450e-12	           0	
    0.999972	  2.0447e-09	  1.0000e-09	  1.0273e-02	  1.1881e+01	  1.4770e-10	  1.8970e-09	  1.8970e-09	  3.6909e-27	  1.2844e+04	  1.2844e+04	  2.4989e-14	           0	
    0.999946	  3.4865e-05	  1.0000e-09	  1.3119e-02	  1.1985e+01	  3.2878e-05	  1.9892e-06	  1.9892e-06	  3.3289e-22	  6.0503e+01	  6.0503e+01	  1.0125e-14	           0	
     1.00001	  1.3723e-09	  1.0000e-09	  5.5476e-03	  1.1612e+01	  7.5579e-11	  1.2967e-09	  1.2967e-09	  1.7420e-26	  1.7157e+04	  1.7157e+04	  2.3049e-13	           0	
     1.00004	  1.9053e-05	  1.0000e-09	  2.3492e-03	  1.1228e+01	  1.7062e-05	  1.9899e-06	  1.9899e-06	  7.6107e-20	  1.1663e+02	  1.1663e+02	  4.4605e-12	           0	
    0.999982	  1.6951e-04	  1.0000e-09	  8.7802e-03	  1.1800e+01	  1.6752e-04	  1.9985e-06	  1.9985e-06	  8.2608e-21	  1.1930e+01	  1.1930e+01	  4.9313e-14	           0	
    0.999962	  7.5470e-04	  1.2713e-02	  1.0000e-09	  2.0649e+00	  7.1390e-04	  4.0834e-05	  2.4207e-07	  4.0592e-05	  5.7198e+01	  3.3909e-01	  5.6859e+01	           0	
    0.999869	  3.7048e-03	  1.0000e-09	  1.4305e-02	  1.1836e+01	  3.7032e-03	  2.0028e-06	  2.0028e-06	  1.0633e-19	  5.4083e-01	  5.4083e-01	  2.8714e-14	           0	
     0.99996	  8.2119e-04	  1.3059e-02	  1.0000e-09	  2.0568e+00	  7.7745e-04	  4.3771e-05	  2.5237e-07	  4.3519e-05	  5.6301e+01	  3.2461e-01	  5.5976e+01	           0	
    0.999909	  1.7930e-06	  1.0000e-09	  1.7304e-02	  1.2106e+01	  4.4440e-07	  1.3486e-06	  1.3486e-06	  1.5237e-24	  3.0346e+03	  3.0346e+03	  3.4286e-15	           0	
    0.999986	  4.3571e-09	  8.5436e-03	  1.0000e-09	  2.1823e+00	  4.0703e-09	  2.8691e-10	  2.6950e-12	  2.8422e-10	  7.0490e+01	  6.6211e-01	  6.9828e+01	           0	
    0.999985	  6.5214e-06	  1.0000e-09	  8.8152e-03	  1.1814e+01	  4.5821e-06	  1.9393e-06	  1.9393e-06	  2.0191e-22	  4.2323e+02	  4.2323e+02	  4.4065e-14	           0	
    0.999965	  9.8254e-04	  1.2886e-02	  1.0000e-09	  2.0762e+00	  9.3191e-04	  5.0667e-05	  3.1956e-07	  5.0348e-05	  5.4370e+01	  3.4291e-01	  5.4027e+01	           0	
    0.999919	  8.6053e-08	  1.5985e-02	  1.0000e-09	  1.9103e+00	  8.0492e-08	  5.5679e-09	  1.4939e-11	  5.5530e-09	  6.9174e+01	  1.8560e-01	  6.8988e+01	           0	
    0.999945	  2.3298e-09	  1.0000e-09	  1.3302e-02	  1.1993e+01	  1.9344e-10	  2.1364e-09	  2.1364e-09	  1.8303e-27	  1.1044e+04	  1.1044e+04	  9.4616e-15	           0	
     0.99994	  9.3530e-06	  1.0000e-09	  1.3845e-02	  1.2009e+01	  7.4023e-06	  1.9511e-06	  1.9511e-06	  6.0330e-23	  2.6359e+02	  2.6359e+02	  8.1502e-15	           0	
     1.00001	  9.9898e-07	  6.3713e-03	  1.0000e-09	  2.3107e+00	  9.3252e-07	  6.6450e-08	  1.1200e-09	  6.5330e-08	  7.1259e+01	  1.2010e+00	  7.0058e+01	           0	
    0.999954	  1.4122e-03	  1.4871e-02	  1.0000e-09	  2.0339e+00	  1.3454e-03	  6.6811e-05	  3.6784e-07	  6.6443e-05	  4.9658e+01	  2.7341e-01	  4.9385e+01	           0	
     0.99989	  7.3931e-05	  1.0000e-09	  1.9193e-02	  1.2148e+01	  7.1945e-05	  1.9936e-06	  1.9936e-06	  1.6791e-22	  2.7711e+01	  2.7711e+01	  2.3339e-15	           0	
    0.999916	  1.3384e-08	  1.6366e-02	  1.0000e-09	  1.9001e+00	  1.2520e-08	  8.6545e-10	  2.2151e-12	  8.6323e-10	  6.9125e+01	  1.7693e-01	  6.8949e+01	           0	
    0.999908	  9.6289e-06	  1.0000e-09	  1.7377e-02	  1.2107e+01	  7.6841e-06	  1.9455e-06	  1.9455e-06	  2.5981e-23	  2.5319e+02	  2.5319e+02	  3.3812e-15	           0	
     1.00001	  7.9873e-08	  1.0000e-09	  5.7944e-03	  1.1631e+01	  4.6331e-09	  7.5240e-08	  7.5240e-08	  9.1639e-25	  1.6240e+04	  1.6240e+04	  1.9779e-13	           0	
     1.00006	  2.4512e-07	  6.8948e-04	  1.0000e-09	  3.3229e+00	  2.0587e-07	  3.9239e-08	  2.4736e-08	  1.4503e-08	  1.9060e+02	  1.2016e+02	  7.0446e+01	           0	
     0.99993	  8.1788e-04	  1.6452e-02	  1.0000e-09	  1.9438e+00	  7.7458e-04	  4.3356e-05	  1.5541e-07	  4.3201e-05	  5.5974e+01	  2.0064e-01	  5.5773e+01	           0	
    0.999971	  1.0593e-09	  1.0215e-02	  1.0000e-09	  2.1045e+00	  9.8996e-10	  6.9392e-11	  4.5614e-13	  6.8936e-11	  7.0096e+01	  4.6077e-01	  6.9636e+01	           0	
     1.00001	  1.5963e-05	  5.6413e-03	  1.0000e-09	  2.3665e+00	  1.4900e-05	  1.0633e-06	  2.2930e-08	  1.0403e-06	  7.1362e+01	  1.5390e+00	  6.9823e+01	           0	
     1.00004	  5.9522e-09	  1.0000e-09	  3.1083e-03	  1.1357e+01	  2.7486e-10	  5.6773e-09	  5.6773e-09	  4.6439e-25	  2.0656e+04	  2.0656e+04	  1.6896e-12	           0	
    0.999953	  3.0965e-05	  1.0000e-09	  1.2341e-02	  1.1958e+01	  2.8979e-05	  1.9882e-06	  1.9882e-06	  3.6955e-22	  6.8609e+01	  6.8609e+01	  1.2753e-14	           0	
    0.999898	  7.6970e-06	  1.0000e-09	  1.8432e-02	  1.2133e+01	  5.7723e-06	  1.9252e-06	  1.9252e-06	  1.5471e-23	  3.3353e+02	  3.3353e+02	  2.6802e-15	           0	
    0.999929	  1.1745e-08	  1.0000e-09	  1.5071e-02	  1.2046e+01	  1.0523e-09	  1.0692e-08	  1.0692e-08	  6.1699e-27	  1.0161e+04	  1.0161e+04	  5.8631e-15	           0	
     0.99995	  1.5066e-08	  1.0000e-09	  1.2732e-02	  1.1974e+01	  1.2272e-09	  1.3839e-08	  1.3839e-08	  1.3713e-26	  1.1277e+04	  1.1277e+04	  1.1174e-14	           0	
           1	  4.2590e-06	  1.0000e-09	  6.6273e-03	  1.1690e+01	  2.3599e-06	  1.8991e-06	  1.8991e-06	  2.9085e-22	  8.0477e+02	  8.0477e+02	  1.2325e-13	           0	
    0.999922	  5.5666e-09	  1.5634e-02	  1.0000e-09	  1.9199e+00	  5.2066e-09	  3.6042e-10	  1.0109e-12	  3.5941e-10	  6.9223e+01	  1.9416e-01	  6.9028e+01	           0	
    0.999971	  1.0334e-04	  1.0364e-02	  1.0000e-09	  2.1071e+00	  9.6768e-05	  6.5775e-06	  4.4178e-08	  6.5333e-06	  6.7971e+01	  4.5653e-01	  6.7515e+01	           0	
    0.999988	  9.4522e-04	  1.0233e-02	  1.0000e-09	  2.1934e+00	  8.9579e-04	  4.9439e-05	  4.8505e-07	  4.8954e-05	  5.5190e+01	  5.4148e-01	  5.4649e+01	           0	
    0.999908	  2.7326e-05	  1.0000e-09	  1.7307e-02	  1.2105e+01	  2.5345e-05	  1.9832e-06	  1.9832e-06	  8.7613e-23	  7.8250e+01	  7.8250e+01	  3.4568e-15	           0	
     1.00002	  1.5058e-04	  1.0000e-09	  4.4387e-03	  1.1494e+01	  1.4858e-04	  1.9995e-06	  1.9995e-06	  8.6355e-20	  1.3458e+01	  1.3458e+01	  5.8122e-13	           0	
     1.00005	  1.1230e-06	  1.1385e-03	  1.0000e-09	  3.0843e+00	  1.0104e-06	  1.1254e-07	  4.1273e-08	  7.1264e-08	  1.1137e+02	  4.0847e+01	  7.0528e+01	           0	
    0.999997	  5.3454e-03	  1.7991e-02	  1.0000e-09	  2.2540e+00	  5.1933e-03	  1.5208e-04	  1.5898e-06	  1.5049e-04	  2.9284e+01	  3.0613e-01	  2.8978e+01	           0	
    0.999911	  1.1436e-03	  1.0000e-09	  1.4723e-02	  1.1979e+01	  1.1417e-03	  2.0001e-06	  2.0001e-06	  1.1715e-20	  1.7518e+00	  1.7518e+00	  1.0261e-14	           0	
     1.00002	  1.1967e-05	  5.2418e-03	  1.0000e-09	  2.3982e+00	  1.1166e-05	  8.0104e-07	  1.9934e-08	  7.8111e-07	  7.1738e+01	  1.7852e+00	  6.9953e+01	           0	
    0.999977	  1.9825e-08	  1.0000e-09	  9.6511e-03	  1.1854e+01	  1.3985e-09	  1.8427e-08	  1.8427e-08	  4.4032e-26	  1.3176e+04	  1.3176e+04	  3.1484e-14	           0	
    0.999928	  2.9527e-05	  1.5035e-02	  1.0000e-09	  1.9386e+00	  2.7631e-05	  1.8982e-06	  5.8393e-09	  1.8924e-06	  6.8698e+01	  2.1133e-01	  6.8487e+01	           0	
    0.999889	  2.8901e-08	  1.9279e-02	  1.0000e-09	  1.8294e+00	  2.7045e-08	  1.8596e-09	  3.4286e-12	  1.8562e-09	  6.8762e+01	  1.2678e-01	  6.8636e+01	           0	
    0.999889	  1.8004e-06	  1.0000e-09	  1.9506e-02	  1.2157e+01	  4.6697e-07	  1.3335e-06	  1.3335e-06	  9.9850e-25	  2.8557e+03	  2.8557e+03	  2.1383e-15	           0	
     1.00003	  5.9919e-09	  4.1162e-03	  1.0000e-09	  2.5028e+00	  5.5828e-09	  4.0897e-10	  1.6296e-11	  3.9267e-10	  7.3255e+01	  2.9190e+00	  7.0336e+01	           0	
     1.00005	  8.6591e-05	  1.0000e-09	  1.0083e-03	  1.0806e+01	  8.4573e-05	  2.0135e-06	  2.0135e-06	  7.5801e-18	  2.3808e+01	  2.3808e+01	  8.9628e-11	           0	
    0.999992	  6.6070e-08	  7.9211e-03	  1.0000e-09	  2.2154e+00	  6.1709e-08	  4.3610e-09	  4.7637e-11	  4.3134e-09	  7.0670e+01	  7.7196e-01	  6.9898e+01	           0	
     1.00006	  1.1593e-08	  4.6258e-04	  1.0000e-09	  3.5232e+00	  8.4979e-09	  3.0943e-09	  2.4972e-09	  5.9708e-10	  3.6412e+02	  2.9386e+02	  7.0262e+01	           0	
    0.999972	  8.3180e-08	  1.0137e-02	  1.0000e-09	  2.1079e+00	  7.7733e-08	  5.4499e-09	  3.6383e-11	  5.4135e-09	  7.0111e+01	  4.6805e-01	  6.9643e+01	           0	
     1.00002	  1.7192e-05	  1.0000e-09	  5.2009e-03	  1.1582e+01	  1.5206e-05	  1.9852e-06	  1.9852e-06	  4.4594e-21	  1.3055e+02	  1.3055e+02	  2.9326e-13	           0	
    0.999982	  1.7659e-06	  1.0000e-09	  9.1520e-03	  1.1831e+01	  3.5243e-07	  1.4135e-06	  1.4135e-06	  1.3499e-23	  4.0107e+03	  4.0107e+03	  3.8304e-14	           0	
     1.00005	  5.7537e-09	  1.7001e-03	  1.0000e-09	  2.8987e+00	  5.2857e-09	  4.6768e-10	  9.4746e-11	  3.7294e-10	  8.8480e+01	  1.7925e+01	  7.0555e+01	           0	
     0.99998	  6.4572e-07	  1.0000e-09	  9.3413e-03	  1.1839e+01	  6.1061e-08	  5.8466e-07	  5.8466e-07	  2.1684e-24	  9.5749e+03	  9.5749e+03	  3.5512e-14	           0	
    0.999963	  1.2689e-09	  1.0000e-09	  1.1215e-02	  1.1919e+01	  9.5903e-11	  1.1730e-09	  1.1730e-09	  1.7282e-27	  1.2231e+04	  1.2231e+04	  1.8020e-14	           0	
     1.00004	  1.6597e-07	  2.4095e-03	  1.0000e-09	  2.7412e+00	  1.5378e-07	  1.2183e-08	  1.3414e-09	  1.0842e-08	  7.9228e+01	  8.7232e+00	  7.0505e+01	           0	
    0.999926	  3.0179e-07	  1.0000e-09	  1.5362e-02	  1.2055e+01	  3.1040e-08	  2.7076e-07	  2.7076e-07	  1.6904e-25	  8.7229e+03	  8.7229e+03	  5.4459e-15	           0	
     1.00005	  1.9479e-04	  2.0385e-03	  1.0000e-09	  2.9119e+00	  1.8131e-04	  1.3472e-05	  1.4062e-06	  1.2066e-05	  7.4305e+01	  7.7561e+00	  6.6549e+01	           0	
    0.999893	  2.9480e-07	  1.8833e-02	  1.0000e-09	  1.8395e+00	  2.7585e-07	  1.8981e-08	  3.6677e-11	  1.8945e-08	  6.8810e+01	  1.3296e-01	  6.8677e+01	           0	
     1.00004	  6.4488e-07	  1.0000e-09	  2.5227e-03	  1.1264e+01	  3.9813e-08	  6.0507e-07	  6.0507e-07	  1.3577e-22	  1.5198e+04	  1.5198e+04	  3.4102e-12	           0	
     1.00001	  4.7017e-09	  5.8712e-03	  1.0000e-09	  2.3464e+00	  4.3877e-09	  3.1396e-10	  6.2205e-12	  3.0774e-10	  7.1555e+01	  1.4177e+00	  7.0137e+01	           0	
    0.999922	  3.7763e-05	  1.5708e-02	  1.0000e-09	  1.9200e+00	  3.5346e-05	  2.4191e-06	  6.8423e-09	  2.4123e-06	  6.8441e+01	  1.9358e-01	  6.8247e+01	           0	
    0.999986	  2.0078e-09	  1.0000e-09	  8.6882e-03	  1.1808e+01	  1.3357e-10	  1.8742e-09	  1.8742e-09	  6.1843e-27	  1.4031e+04	  1.4031e+04	  4.6300e-14	           0	
    0.999944	  8.2938e-09	  1.0000e-09	  1.3346e-02	  1.1994e+01	  6.9166e-10	  7.6022e-09	  7.6022e-09	  6.4624e-27	  1.0991e+04	  1.0991e+04	  9.3434e-15	           0	
    0.999965	  3.0903e-04	  1.0000e-09	  1.0445e-02	  1.1868e+01	  3.0704e-04	  1.9992e-06	  1.9992e-06	  8.4912e-21	  6.5112e+00	  6.5112e+00	  2.7655e-14	           0	
    0.999974	  1.0476e-05	  1.0000e-09	  9.9688e-03	  1.1867e+01	  8.5116e-06	  1.9647e-06	  1.9647e-06	  2.3904e-22	  2.3083e+02	  2.3083e+02	  2.8084e-14	           0	
    0.999974	  2.3793e-08	  9.9296e-03	  1.0000e-09	  2.1169e+00	  2.2234e-08	  1.5598e-09	  1.0851e-11	  1.5490e-09	  7.0156e+01	  4.8806e-01	  6.9668e+01	           0	
    0.999925	  1.2557e-04	  1.5586e-02	  1.0000e-09	  1.9284e+00	  1.1772e-04	  7.8566e-06	  2.3509e-08	  7.8331e-06	  6.6739e+01	  1.9970e-01	  6.6539e+01	           0	
     1.00006	  5.6667e-04	  1.1207e-03	  1.0000e-09	  4.2241e+00	  5.1045e-04	  5.6195e-05	  3.0955e-05	  2.5240e-05	  1.1009e+02	  6.0643e+01	  4.9447e+01	           0	
    0.999946	  6.8921e-05	  1.0000e-09	  1.3048e-02	  1.1981e+01	  6.6930e-05	  1.9947e-06	  1.9947e-06	  7.0235e-22	  2.9803e+01	  2.9803e+01	  1.0494e-14	           0	
     1.00003	  9.0602e-06	  4.0683e-03	  1.0000e-09	  2.5099e+00	  8.4426e-06	  6.1739e-07	  2.5176e-08	  5.9221e-07	  7.3128e+01	  2.9820e+00	  7.0146e+01	           0	
    0.999994	  1.4109e-08	  1.0000e-09	  7.7957e-03	  1.1761e+01	  8.9776e-10	  1.3211e-08	  1.3211e-08	  6.1623e-26	  1.4715e+04	  1.4715e+04	  6.8641e-14	           0	
    0.999924	  2.1096e-05	  1.5493e-02	  1.0000e-09	  1.9250e+00	  1.9739e-05	  1.3582e-06	  3.9185e-09	  1.3543e-06	  6.8808e+01	  1.9851e-01	  6.8609e+01	           0	
     0.99993	  9.3069e-07	  1.0000e-09	  1.4974e-02	  1.2044e+01	  1.3013e-07	  8.0057e-07	  8.0057e-07	  7.8232e-25	  6.1520e+03	  6.1520e+03	  6.0118e-15	           0	
    0.999908	  7.1038e-09	  1.7257e-02	  1.0000e-09	  1.8772e+00	  6.6458e-09	  4.5863e-10	  1.0556e-12	  4.5758e-10	  6.9011e+01	  1.5884e-01	  6.8852e+01	           0	
    0.999975	  1.6768e-07	  9.8063e-03	  1.0000e-09	  2.1223e+00	  1.5669e-07	  1.0996e-08	  7.8438e-11	  1.0918e-08	  7.0180e+01	  5.0060e-01	  6.9679e+01	           0	
    0.999939	  1.3418e-06	  1.3711e-02	  1.0000e-09	  1.9768e+00	  1.2547e-06	  8.7158e-08	  3.1817e-10	  8.6840e-08	  6.9467e+01	  2.5359e-01	  6.9213e+01	           0	
     1.00002	  1.4290e-05	  4.8130e-03	  1.0000e-09	  2.4364e+00	  1.3329e-05	  9.6068e-07	  2.8275e-08	  9.3240e-07	  7.2073e+01	  2.1213e+00	  6.9952e+01	           0	
